Reference,Qty,Value,Footprint,Manufacturer Part ,Digikey P/N,LCSC P/N
U1,1,TLP3545,Package_DIP:DIP-6_W7.62mm,TOSHIBA TLP3545(F),TLP3545(F)-ND,C1525254
R3,1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,UXB02070G1002BCU00,UXB02070G1002BCU00-ND,C1436381
R2,1,220,Resistor_SMD:R_2010_5025Metric,RC2010FK-07220RL,13-RC2010FK-07220RLTR-ND,C877242
R1,1,10,Resistor_SMD:R_0603_1608Metric,CMP0603-FX-10R0ELF,118-CMP0603-FX-10R0ELFTR-ND,C1880466
"Q1,Q2",2,BS108,Package_TO_SOT_THT:TO-92_Inline,ZVNL120A,ZVNL120A-ND,C461801
J4,1,Conn_01x02,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,NRPN021PAEN-RC,S5800-02-ND,C6943462
"J1,J2,J3",3,Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1729128,277-1247-ND,C91153
HS1,1,Heatsink,Heatsink:Heatsink_Fischer_SK104-STCB_35x13mm__2xDrill3.5mm_ScrewM3,"SK 104 25,4 STCB TO 220","5496-SK10425,4STCBTO220-ND",
D1,1,D_Small,Diode_SMD:D_SOD-882,"BZX884-B18,315",1727-5620-2-ND,C551187
C1,1,100n,Capacitor_SMD:C_Elec_4x5.4,225RV0060,,C46682882
